source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url
manual_research,Beacon Plumbing,plumbing_hvac_electric,Boise ID,public_booking_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.beaconplumbing.com/,https://www.beaconplumbing.com/
manual_research,Pioneer Plumbing,plumbing,Boise/Treasure Valley ID,public_contact_form,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://pioneerplumbingidaho.com/,https://pioneerplumbingidaho.com/
manual_research,Cloverdale Plumbing,plumbing,Boise/Treasure Valley ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,"Official site provides a public contact page with a Send a Message form and documents 24/7 emergency plumbing service; refreshed 2026-07-18; no message sent",https://www.cloverdaleplumbing.com/contact/,https://www.cloverdaleplumbing.com/contact/
manual_research,Hyde Park Plumbing,plumbing,Boise ID,public_schedule_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://hydepark-plumbing.com/,https://hydepark-plumbing.com/
manual_research,IdaFlow Plumbing,plumbing,Boise/Treasure Valley ID,public_contact_page,website_form,urgent_job_calls,no_response,,not_requested,not_started,not_started,researched,0,0,"Official site provides a public contact form and documents emergency plumbing services; refreshed 2026-07-18; no message sent",https://www.idaflowplumbing.com/contact,https://www.idaflowplumbing.com/contact
manual_research,Paige Mechanical Group,plumbing_hvac,Boise ID,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Official site provides a public contact page for plumbing and HVAC service requests; refreshed 2026-07-18; no message sent,https://www.paigemechanical.com/contact-us/,https://www.paigemechanical.com/contact-us/
manual_research,Diamond Heating and Cooling,hvac_plumbing_electric,Boise/Garden City ID,public_contact_form,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.diamondheatingandcooling.com/,https://www.diamondheatingandcooling.com/
manual_research,Quality Heating and Cooling,hvac,Treasure Valley ID,public_request_service,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.qualityheating.net/,https://www.qualityheating.net/
manual_research,7th Element Heating and Cooling,hvac,Boise/Meridian/Eagle ID,public_contact_page,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://www.7thelementhvac.com/,https://www.7thelementhvac.com/
manual_research,Western Heating and Air Conditioning,hvac_plumbing_electric,Meridian/Boise ID,public_request_service,website_form,after_hours_recovery,no_response,,not_requested,not_started,not_started,researched,0,0,Public official site from launch research; no message sent,https://westernhvac.com/city/meridian-id/,https://westernhvac.com/city/meridian-id/
