source,company,vertical,region,owner_contact,channel,message_variant,response,objection,proof_walkthrough_status,checkout_status,activation_status,next_state,touch_count,spend_cents,notes,source_url,contact_url,batch,email,email_source_page,email_confidence,crawl_status
nationwide_research,Sunrise Plumbing Contractors,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,family-owned plumbing experts; 24/7 emergency support,https://www.sunriseplumbingaz.com/,https://www.sunriseplumbingaz.com/contact#ICcontactform,nationwide,sunriseplumbingaz@gmail.com,https://www.sunriseplumbingaz.com/contact#ICcontactform,high,crawled
nationwide_research,Quail Plumbing,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,family-owned plumbing company; 24/7 emergency service,https://www.quailplumbing.com/,https://www.quailplumbing.com/,nationwide,webmaster@quailplumbing.com,https://www.quailplumbing.com/,high,crawled
nationwide_research,Johnco Plumbing,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,family owned and operated since 1997,http://johncoplumbing.com/,http://johncoplumbing.com/contact/,nationwide,johncoplumbing@msn.com,http://johncoplumbing.com/contact/,high,crawled
nationwide_research,Redeemed Plumbing,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,"family-owned, licensed, and insured plumbing company",https://www.redeemed-plumbing.com/,https://www.redeemed-plumbing.com/,nationwide,redeemedplumbingaz@gmail.com,https://www.redeemed-plumbing.com/,high,crawled
nationwide_research,Yellowstone Plumbing,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,"family-owned, owner-operated plumbing company",https://yellowstoneplumbing.com/,https://yellowstoneplumbing.com/,nationwide,contact@yellowstoneplumbing.com,https://yellowstoneplumbing.com/,high,crawled
nationwide_research,The Copper State Plumbing Co LLC,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,owner-operated and locally owned,https://www.thecopperstateplumbingcollc.com/,https://www.thecopperstateplumbingcollc.com/,nationwide,jlerma121699@gmail.com,https://www.thecopperstateplumbingcollc.com/,medium,crawled
nationwide_research,VetPro Plumbing,plumbing,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Service Disabled Veteran Owned Small Business,https://vetproplumbing.com/,https://vetproplumbing.com/,nationwide,vetproplumbing@gmail.com,https://vetproplumbing.com/,medium,crawled
nationwide_research,Don Jones Plumbing,plumbing,Phoenix AZ,public_contact_form,website_form,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,family-owned small business offering emergency plumbing,https://m.yelp.com/search?find_desc=Plumbing+Companies&find_loc=Phoenix%2C+AZ,https://m.yelp.com/search?find_desc=Plumbing+Companies&find_loc=Phoenix%2C+AZ,nationwide,,,,unreachable
nationwide_research,Way Cool Plumbing & Air,hvac,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Family owned in Phoenix,https://www.callwaycool.com/,https://www.callwaycool.com/,nationwide,dispatch@callwaycool.com,https://www.callwaycool.com/,medium,crawled
nationwide_research,Reliance Heating & Air Conditioning,hvac,Phoenix AZ,public_contact_form,email,missed_call_direct,no_response,,not_requested,not_started,not_started,researched,0,0,Family-Owned HVAC Experts,https://relianceac.com/,https://relianceac.com/,nationwide,info@relianceac.com,https://relianceac.com/contact/,medium,crawled
